2024-01-24
2024-01-25
1 esm 6
1 esm 7
2024-01-29
2 esr 3
2 esr 10
2 esm 3
1 esm 1
2 esr 8
1 esm 8
2 esm 4
2 esr 7
2024-01-30
2 esr 11
2 esm 2
2 esm 1
2 esr 12
3 esr 6
2 esr 4
2 esr 13
2 esr 9
2 esr 14
3 esm 2
3 esm 3
3 esm 4
3 esr 7
2024-01-31
2 esr 15
2 esr 16
3 esm 5
3 esr 1
2 esm 5
4 esr 1
3 esr 4
4 esm 1
4 esm 2
4 esr 2
3 esr 8
2024-02-01
2 esr 17
3 esr 3
4 esm 3
4 esr 3
4 esr 4
4 esr 5
4 esr 6
4 esm 4
4 esr 7
2024-02-02
2 esr 18
3 esr 9
4 esr 8
3 esm 6
2 esm 6
4 esr 9
4 esr 10
2 esr 19
4 esr 11
4 esr 12
2024-02-05
4 esr 13
4 esr 14
4 esr 15
4 esm 5
2 esr 2
4 esr 16
4 esm 6
4 esm 7
5 esr 2
4 esr 17
2024-02-07
4 esr 18
5 esm 3
2024-02-08
5 esr 6
5 esr 5
4 esr 19
1 esr 25
2024-02-09
5 esr 1
3 esm 7
4 esm 8
5 esr 7
5 esm 4
5 esr 8
2024-02-12
5 esr 9
6 esm 1
4 esr 20
6 esr 1
6 esr 2
4 esr 21
2024-02-13
6 esr 3
6 esm 2
6 esm 3
4 esm 9
2 esr 20
6 esr 4 dubbio
4 esr 22
6 esr 4
1 esr 2
2 esm 6
2 esm 5
2024-02-14
6 esr 5
4 esm 9
4 esm 7
6 esr 6
4 esm 8
4 esr 19 dubbio
6 esr 7 dubbio
5 esm 5 dubbio 
4 esr 15 
6 esr 8 
2024-02-15
2 esr 6 
4 esm 3 
4 esr 17 
4 esr 23 
4 esr 16 
2024-02-16
6 esm 3 
6 esr 9 
1 esr 3 
1 esr 11 
4 esm 6 
4 esm 1 
1 esr 33 dubbio
4 esm 4 
4 esr 24 dubbio
4 esr 9 
2024-02-19
3 esr 10 
6 esr 10 
7 esr 1 
3 esr 2 
7 esr 2 
4 esr 14 
6 esr 11 
7 esm 1 dubbio
4 esm 5 
6 esr 12 
4 esr 25 
2024-02-20
6 esr 13 
7 esr 2 
6 esr 14 
6 esr 15 dubbio
